event_index,population,gate_id,depth,gate_path
0,Lym,001__Lym__SSC-A__CD45_APC-A750-A,0,001__Lym__SSC-A__CD45_APC-A750-A
1,H,Gate_H,0,Gate_H
2,C,001__C__SSC-A__CD45_APC-A750-A,0,001__C__SSC-A__CD45_APC-A750-A
3,UNGATED,,-1,
4,UNGATED,,-1,
5,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
6,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
7,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
8,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
9,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
10,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
11,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
12,Lym,001__Lym__SSC-A__CD45_APC-A750-A,0,001__Lym__SSC-A__CD45_APC-A750-A
13,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
14,Lym,001__Lym__SSC-A__CD45_APC-A750-A,0,001__Lym__SSC-A__CD45_APC-A750-A
15,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
16,UNGATED,,-1,
17,UNGATED,,-1,
18,F,001__F__SSC-A__CD45_APC-A750-A,0,001__F__SSC-A__CD45_APC-A750-A
19,F,001__F__SSC-A__CD45_APC-A750-A,0,001__F__SSC-A__CD45_APC-A750-A
20,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
21,UNGATED,,-1,
22,Mono,001__Mono__SSC-A__CD45_APC-A750-A,0,001__Mono__SSC-A__CD45_APC-A750-A
23,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
24,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
25,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
26,H,Gate_H,0,Gate_H
27,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
28,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
29,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
30,UNGATED,,-1,
31,Lym,001__Lym__SSC-A__CD45_APC-A750-A,0,001__Lym__SSC-A__CD45_APC-A750-A
32,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
33,G,Gate_G,0,Gate_G
34,Lym,001__Lym__SSC-A__CD45_APC-A750-A,0,001__Lym__SSC-A__CD45_APC-A750-A
35,H,Gate_H,0,Gate_H
36,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
37,Lym,001__Lym__SSC-A__CD45_APC-A750-A,0,001__Lym__SSC-A__CD45_APC-A750-A
38,Lym,001__Lym__SSC-A__CD45_APC-A750-A,0,001__Lym__SSC-A__CD45_APC-A750-A
39,G,Gate_G,0,Gate_G
40,F,001__F__SSC-A__CD45_APC-A750-A,0,001__F__SSC-A__CD45_APC-A750-A
41,F,001__F__SSC-A__CD45_APC-A750-A,0,001__F__SSC-A__CD45_APC-A750-A
42,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
43,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
44,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
45,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
46,UNGATED,,-1,
47,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
48,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
49,Mono,001__Mono__SSC-A__CD45_APC-A750-A,0,001__Mono__SSC-A__CD45_APC-A750-A
50,C,001__C__SSC-A__CD45_APC-A750-A,0,001__C__SSC-A__CD45_APC-A750-A
51,F,001__F__SSC-A__CD45_APC-A750-A,0,001__F__SSC-A__CD45_APC-A750-A
52,F,001__F__SSC-A__CD45_APC-A750-A,0,001__F__SSC-A__CD45_APC-A750-A
53,UNGATED,,-1,
54,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
55,H,Gate_H,0,Gate_H
56,Lym,001__Lym__SSC-A__CD45_APC-A750-A,0,001__Lym__SSC-A__CD45_APC-A750-A
57,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
58,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
59,Lym,001__Lym__SSC-A__CD45_APC-A750-A,0,001__Lym__SSC-A__CD45_APC-A750-A
60,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
61,Lym,001__Lym__SSC-A__CD45_APC-A750-A,0,001__Lym__SSC-A__CD45_APC-A750-A
62,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
63,Mono,001__Mono__SSC-A__CD45_APC-A750-A,0,001__Mono__SSC-A__CD45_APC-A750-A
64,F,001__F__SSC-A__CD45_APC-A750-A,0,001__F__SSC-A__CD45_APC-A750-A
65,C,001__C__SSC-A__CD45_APC-A750-A,0,001__C__SSC-A__CD45_APC-A750-A
66,UNGATED,,-1,
67,C,001__C__SSC-A__CD45_APC-A750-A,0,001__C__SSC-A__CD45_APC-A750-A
68,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
69,Lym,001__Lym__SSC-A__CD45_APC-A750-A,0,001__Lym__SSC-A__CD45_APC-A750-A
70,F,001__F__SSC-A__CD45_APC-A750-A,0,001__F__SSC-A__CD45_APC-A750-A
71,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
72,H,Gate_H,0,Gate_H
73,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
74,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
75,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
76,UNGATED,,-1,
77,UNGATED,,-1,
78,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
79,Lym,001__Lym__SSC-A__CD45_APC-A750-A,0,001__Lym__SSC-A__CD45_APC-A750-A
80,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
81,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
82,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
83,Lym,001__Lym__SSC-A__CD45_APC-A750-A,0,001__Lym__SSC-A__CD45_APC-A750-A
84,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
85,UNGATED,,-1,
86,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
87,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
88,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
89,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
90,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
91,UNGATED,,-1,
92,UNGATED,,-1,
93,Lym,001__Lym__SSC-A__CD45_APC-A750-A,0,001__Lym__SSC-A__CD45_APC-A750-A
94,C,001__C__SSC-A__CD45_APC-A750-A,0,001__C__SSC-A__CD45_APC-A750-A
95,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
96,UNGATED,,-1,
97,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
98,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
99,UNGATED,,-1,
100,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
101,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
102,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
103,Lym,001__Lym__SSC-A__CD45_APC-A750-A,0,001__Lym__SSC-A__CD45_APC-A750-A
104,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
105,Lym,001__Lym__SSC-A__CD45_APC-A750-A,0,001__Lym__SSC-A__CD45_APC-A750-A
106,Lym,001__Lym__SSC-A__CD45_APC-A750-A,0,001__Lym__SSC-A__CD45_APC-A750-A
107,UNGATED,,-1,
108,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
109,UNGATED,,-1,
110,G,Gate_G,0,Gate_G
111,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
112,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
113,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
114,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
115,Lym,001__Lym__SSC-A__CD45_APC-A750-A,0,001__Lym__SSC-A__CD45_APC-A750-A
116,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
117,Lym,001__Lym__SSC-A__CD45_APC-A750-A,0,001__Lym__SSC-A__CD45_APC-A750-A
118,F,001__F__SSC-A__CD45_APC-A750-A,0,001__F__SSC-A__CD45_APC-A750-A
119,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
120,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
121,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
122,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
123,H,Gate_H,0,Gate_H
124,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
125,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
126,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
127,C,001__C__SSC-A__CD45_APC-A750-A,0,001__C__SSC-A__CD45_APC-A750-A
128,Mono,001__Mono__SSC-A__CD45_APC-A750-A,0,001__Mono__SSC-A__CD45_APC-A750-A
129,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
130,H,Gate_H,0,Gate_H
131,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
132,H,Gate_H,0,Gate_H
133,G,Gate_G,0,Gate_G
134,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
135,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
136,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
137,F,001__F__SSC-A__CD45_APC-A750-A,0,001__F__SSC-A__CD45_APC-A750-A
138,UNGATED,,-1,
139,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
140,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
141,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
142,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
143,Lym,001__Lym__SSC-A__CD45_APC-A750-A,0,001__Lym__SSC-A__CD45_APC-A750-A
144,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
145,Lym,001__Lym__SSC-A__CD45_APC-A750-A,0,001__Lym__SSC-A__CD45_APC-A750-A
146,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
147,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
148,F,001__F__SSC-A__CD45_APC-A750-A,0,001__F__SSC-A__CD45_APC-A750-A
149,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
150,Mono,001__Mono__SSC-A__CD45_APC-A750-A,0,001__Mono__SSC-A__CD45_APC-A750-A
151,UNGATED,,-1,
152,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
153,Lym,001__Lym__SSC-A__CD45_APC-A750-A,0,001__Lym__SSC-A__CD45_APC-A750-A
154,UNGATED,,-1,
155,Lym,001__Lym__SSC-A__CD45_APC-A750-A,0,001__Lym__SSC-A__CD45_APC-A750-A
156,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
157,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
158,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
159,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
160,Lym,001__Lym__SSC-A__CD45_APC-A750-A,0,001__Lym__SSC-A__CD45_APC-A750-A
161,Lym,001__Lym__SSC-A__CD45_APC-A750-A,0,001__Lym__SSC-A__CD45_APC-A750-A
162,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
163,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
164,G,Gate_G,0,Gate_G
165,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
166,F,001__F__SSC-A__CD45_APC-A750-A,0,001__F__SSC-A__CD45_APC-A750-A
167,Mono,001__Mono__SSC-A__CD45_APC-A750-A,0,001__Mono__SSC-A__CD45_APC-A750-A
168,Lym,001__Lym__SSC-A__CD45_APC-A750-A,0,001__Lym__SSC-A__CD45_APC-A750-A
169,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
170,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
171,UNGATED,,-1,
172,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
173,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
174,Lym,001__Lym__SSC-A__CD45_APC-A750-A,0,001__Lym__SSC-A__CD45_APC-A750-A
175,Lym,001__Lym__SSC-A__CD45_APC-A750-A,0,001__Lym__SSC-A__CD45_APC-A750-A
176,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
177,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
178,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
179,C,001__C__SSC-A__CD45_APC-A750-A,0,001__C__SSC-A__CD45_APC-A750-A
180,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
181,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
182,C,001__C__SSC-A__CD45_APC-A750-A,0,001__C__SSC-A__CD45_APC-A750-A
183,UNGATED,,-1,
184,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
185,H,Gate_H,0,Gate_H
186,Lym,001__Lym__SSC-A__CD45_APC-A750-A,0,001__Lym__SSC-A__CD45_APC-A750-A
187,Lym,001__Lym__SSC-A__CD45_APC-A750-A,0,001__Lym__SSC-A__CD45_APC-A750-A
188,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
189,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
190,G,Gate_G,0,Gate_G
191,F,001__F__SSC-A__CD45_APC-A750-A,0,001__F__SSC-A__CD45_APC-A750-A
192,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
193,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
194,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
195,Gra,001__Gra__SSC-A__CD45_APC-A750-A,0,001__Gra__SSC-A__CD45_APC-A750-A
196,Lym,001__Lym__SSC-A__CD45_APC-A750-A,0,001__Lym__SSC-A__CD45_APC-A750-A
197,G,Gate_G,0,Gate_G
198,UNGATED,,-1,
199,F,001__F__SSC-A__CD45_APC-A750-A,0,001__F__SSC-A__CD45_APC-A750-A
200,G,Gate_G,0,Gate_G
201,H,Gate_H,0,Gate_H
